emotion,browDownLeft,browDownRight,browInnerUp,cheekSquintLeft,cheekSquintRight,eyeBlinkRight,eyeBlinkLeft,eyeSquintRight,eyeSquintLeft,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight
1,0.0024424177,0.0012455911,0.1268650591,0.0000170628,0.0000044000,0.4929793477,0.7199419737,0.5795906186,0.4692642689,0.0006982207,0.0023819662,0.0277654398,0.9637792706,0.9581921697
1,0.0074901986,0.0091992719,0.0412565470,0.0000019687,0.0000009506,0.0809451491,0.1246628016,0.1910154074,0.4041102529,0.0131191099,0.0081552761,0.0065228916,0.8452335596,0.8916929364
1,0.0209018067,0.0155228665,0.0267127957,0.0000024838,0.0000017754,0.0586150177,0.1224732772,0.2722675502,0.3151260316,0.0102978768,0.0119018471,0.0042537139,0.8316472173,0.8594685793
1,0.3088999391,0.1636357456,0.0056668986,0.0000032804,0.0000039290,0.2708924413,0.3030352294,0.5038074851,0.4407849312,0.0020117450,0.0038619915,0.0390746854,0.8990079165,0.7839791179
1,0.0914616659,0.1429438442,0.0026201014,0.0000013385,0.0000005342,0.2213037461,0.1027328074,0.3932531774,0.6045511961,0.0103313709,0.0021353054,0.0617306232,0.7708257437,0.8134222031
1,0.0584794506,0.0740627125,0.0239227209,0.0000016863,0.0000010902,0.4551967978,0.5678871870,0.6198283434,0.6542073488,0.0023436171,0.0007626373,0.0052462998,0.8427592516,0.9035995603
1,0.0112249414,0.0302998405,0.1022587940,0.0000046619,0.0000032374,0.0111062182,0.0359272361,0.0515526459,0.1119495109,0.0289720949,0.0467963926,0.0072588143,0.1459522843,0.1579978019
1,0.0047556171,0.0049244757,0.2459151745,0.0000069226,0.0000036559,0.2502373755,0.2467290759,0.4295431972,0.4856542349,0.0038364851,0.0034299621,0.0673694164,0.7049040198,0.6757974625
1,0.0013475593,0.0009779927,0.5963616967,0.0000030702,0.0000061590,0.0509459563,0.0864024162,0.1158726066,0.2285673320,0.0135918120,0.0257326998,0.0022636238,0.9600436091,0.9097258449
1,0.0019222321,0.0023348837,0.0694009811,0.0000021459,0.0000011517,0.0134424809,0.0374954790,0.2367339134,0.2345606685,0.0179526769,0.0271768607,0.1170066595,0.0337282270,0.0172128007
1,0.0158199128,0.0045944345,0.2087567747,0.0000081953,0.0000021234,0.1911623627,0.2074034363,0.5048700571,0.7754281163,0.0068707112,0.0055582765,0.0626578629,0.9072132111,0.9177497625
1,0.0088322721,0.0215424690,0.0686551258,0.0000027449,0.0000022988,0.0214043353,0.0385792293,0.1681677550,0.2617446780,0.0323069394,0.0374652967,0.0419883169,0.9261999726,0.9172169566
1,0.0016030204,0.0028242762,0.2882780433,0.0000002985,0.0000000848,0.0358397886,0.0379299223,0.0400394276,0.2651965618,0.0398419537,0.0121121742,0.0005546807,0.0001147613,0.0001797010
1,0.0029394932,0.0046942933,0.0705093518,0.0000020612,0.0000013424,0.0422978066,0.0751394331,0.2863947153,0.5294350386,0.0127935158,0.0169826671,0.3083697259,0.8161290288,0.7514473796
1,0.0342496373,0.0241580978,0.0279453900,0.0000006368,0.0000006500,0.0322105214,0.0261039361,0.1941229701,0.2991248071,0.0288220868,0.0281402823,0.0294507258,0.6300363541,0.6635817289
1,0.0007834761,0.0002228455,0.2893641591,0.0000011285,0.0000002023,0.0113258744,0.0262972508,0.0440039150,0.1339534521,0.0324668512,0.0342788287,0.0865305737,0.0000727360,0.0002151618
1,0.0715885535,0.7278685570,0.0015923467,0.0000002624,0.0000003946,0.3615848720,0.2958555818,0.4902129173,0.4764864445,0.0017690817,0.0006234064,0.0021835256,0.0201938432,0.0391595140
1,0.0007709670,0.0011800560,0.4279113114,0.0000023825,0.0000011759,0.2427518666,0.0726764947,0.4896183610,0.4970317483,0.0191807356,0.0030835425,0.0073757796,0.3954863548,0.3294108510
1,0.1793694645,0.3591939509,0.0107540218,0.0000006541,0.0000007640,0.1364421546,0.1576849222,0.2704708576,0.3657323122,0.0140099805,0.0041297162,0.0014224721,0.8200783134,0.8240824342
1,0.0017725787,0.0022718678,0.3357867002,0.0000020115,0.0000023944,0.3943733573,0.4193626046,0.6135510206,0.6669159532,0.0022075849,0.0026666943,0.3719506264,0.7105199099,0.6886460781
1,0.0449192785,0.0686056316,0.0124130128,0.0000097001,0.0000029382,0.0961190686,0.0734367371,0.3833656609,0.3872508109,0.0172067918,0.0094247796,0.0243263282,0.9192128181,0.9203324914
1,0.8709799051,0.8888764977,0.0000046861,0.0000020886,0.0000011100,0.4950544834,0.4249699414,0.5547230840,0.7084124088,0.0016991023,0.0015842076,0.1009127721,0.9605519176,0.9596264958
1,0.1310288161,0.1339003891,0.0020985641,0.0000023461,0.0000008268,0.1711617857,0.2432467490,0.3674565852,0.5126547813,0.0026888868,0.0042804573,0.0315886252,0.9059551954,0.8607918620
1,0.1665537059,0.1350182444,0.0072525740,0.0000019579,0.0000010771,0.1280027330,0.1428488046,0.3264023960,0.4322835207,0.0068365731,0.0050424258,0.0119143771,0.7872682214,0.6843438148
1,0.0127381450,0.0071151089,0.0551826246,0.0000061266,0.0000028140,0.5812379122,0.7167509794,0.2759709656,0.2776336670,0.0002927869,0.0008042149,0.1051731706,0.5143260956,0.3669194579
1,0.5043078661,0.5316834450,0.0010316942,0.0000046016,0.0000030154,0.3568229377,0.3794094920,0.6874721050,0.8339589238,0.0034366497,0.0018989642,0.0246939659,0.9144411087,0.9212451577
1,0.0129667344,0.0117000770,0.0646165609,0.0000019269,0.0000014976,0.0461863577,0.1215495095,0.3177855611,0.4042282104,0.0071182265,0.0222489480,0.0116193732,0.8543757200,0.6008670330
